职位名,公司,薪资,城市,区域,商圈,详细地址,经验,学历,职位标签,福利,岗位描述,HR 名称,HR 职位,活跃时间,职位链接,筛选状态,筛选原因,采集错误
Python兼职技术人才招聘,六安盈昌电子商务,50-200元/时,杭州,钱塘区,金沙湖,杭州钱塘区九阳泰美国际1303,经验不限,本科,PyTorch、Pandas、MySQL、Selenium、Numpy、Python,,"工作周期：长期兼职
每周工期：无要求
工作时间：不限
⼯作时段：不限
结算⽅式：完⼯结
招聘截止时间：2026-06-13
长期招募Python 兼职开发，承接淘宝 / 电商类外包订单，远程居家办公，时间自由，按单结算，多劳多得。
接单类型
爬⾍开发：电商商品 / 评论 / 价格采集、数据清洗、反爬绕过、JS 逆向
插件 / 脚本：自动化工具、办公批量处理、网页插件、软件辅助脚本
小程序 / 网站后端：简单接口开发、数据对接、小项目二次开发
其他：Python 定制程序、数据处理、脚本代做
任职要求
熟练掌握 Python 语法，能独立完成需求开发与调试
熟悉爬虫技术：requests/BeautifulSoup/Scrapy/Selenium/Playwright，能处理常见反爬、验证码、加密参数
了解数据库（MySQL/SQLite）、Git 版本控制优先
有电商爬虫、插件开发、淘宝接单经验者优先
责任心强，按时交付，沟通顺畅，能按需求修改
合作模式
派单方式：微信群 / QQ 群派单，自主接单
结算方式：一单一结 / 周结，支付宝 / 微信结算，无押金无套路
分成 / 薪资：按项目难度定价，基础单 50-500 元，复杂单 1000 元 +，技术好可长期合作涨薪
应聘方式
发送简历 / 自我介绍 + 过往案例（代码截图 / 项目说明）至【联系方式】，备注：Python 兼职
合适者拉接单群，统一派单",刘先生,招聘者,刚刚活跃,https://www.zhipin.com/job_detail/da852ed729ac872b0nd42t-5EVpV.html,通过,通过,
Python大模型-线上面试（宁波地域）,中软国际,15-25K,杭州,萧山区,西兴,杭州萧山区喵大人(传化大厦店)-,3-5年,本科,Java、Nginx、Django、Pandas、MySQL、Redis、Python,带薪年假、免费班车、零食下午茶、定期体检、节假日加班费、年终奖、节日福利、五险一金,"（线上⾯试岗位 ⾮远程办公哦）
1、本科以上，计算机相关专业，初中⾼级都在招
2、python必备，有NLP经验优先；
3、具备良好的沟通协调能力和语言表达能⼒，工作积极主动，踏实负责，抗压能力强；",宗先婷,专员,刚刚活跃,https://www.zhipin.com/job_detail/80d982ca9db7ada40nd52t21GVtX.html,通过,通过,
Java/C/C++/Python/前端/测试（线上面试）,外企德科数字,15-30K·14薪,杭州,滨江区,长河,杭州滨江区华为技术有限公司杭州研究所410,经验不限,本科,Java、物联网经验、C++、Hibernate、不接受居家办公、C、SpringCloud、Kafka、Redis、Spring、HBase、大数据经验、微服务经验、MySQL、MyBatis、云计算经验、MongoDB、架构设计经验、Oracle、Python,交通补助、团建聚餐、通讯补贴、绩效奖金、定期体检、年终奖、保底工资、节日福利、法定节假日三薪、节假日加班费、餐补、生日福利、底薪加提成、五险一金、加班补助、带薪年假,"在招岗位：Java、C、C++、python、算法、测试、前端、大数据开发;
参与本部核心项目开发:可接受应届生或转⾏⽆经验，前半年P18以上导师带教;每年1-2次升职调薪机会，有明确通道可转华为正编;
薪酬待遇：底薪+绩效+年终奖(根据⾯试定级定薪);试用期全薪，入职缴纳五险⼀金(全额)。
工作时间：周末双休(可申请加班，双倍薪资)、免费健身房、宵夜、下午茶、班车、各种团建、活动等福利。
岗位要求:
1、本科及以上学历，理工科专业优先。
2、熟悉掌握JAVA/C++/C/Python/JS/GO等其中一种编程语言;
3、具备独立工作能力和解决问题的能力、善于沟通合作，热衷新技术;
4、熟悉常用的算法和数据结构。
可选择部门:数存、数通、海思、2012、carbu、GTS、公共开发、光产品、计算、汽车终端等。
支持地域:杭州、南京、上海、苏州、深圳、东莞、西安、成都、武汉、北京长沙,济南等多个研究所(支持远程线上面试，城市可自由选择);",黄先生,招聘经理,刚刚活跃,https://www.zhipin.com/job_detail/3d55b32511e147b20ndy39m8ElFU.html,通过,通过,
后端开发-python+AI,武汉佰钧成技术,13-14K,杭州,西湖区,西溪,杭州西湖区阿里巴巴云谷园区1,3-5年,大专,Pandas、MySQL、Python,定期体检、节日福利、五险一金、带薪年假、补充医疗保险,"职位描述
参与业务需求拆解与系统架构评审，从质量保障和可观测性角度提出可测性设计建议；
负责智能运维与测试工具链的开发与维护，包括自动化测试平台、故障注入系统、日志分析引擎等，显著提升研发与运维效率；
深⼊理解AI/⼤模型相关业务场景的质量痛点（如模型输出稳定性、RAG准确性、Agent⾏为一致性），通过代码抽象将复杂验证逻辑标准化、产品化；
构建基于LLM的智能评测体系（LLM-as-a-Judge），设计自动化评估流⽔线，实现对生成式AI系统的量化质量监控；
输出高质量的技术方案与接口定义，保障工具系统的可扩展性、稳定性与安全性。
职位要求
扎实的工程能力：具备优秀的系统设计与需求转化能力，能独立输出清晰、可落地的技术方案与API契约；
精通Python语言：熟悉异步编程（asyncio）、高性能网络库（aiohttp、httpx）、数据处理（pandas、numpy），并有良好的工程规范（类型提示、单元测试、CI集成）；
理解AI/大模型基础原理与应用：了解Prompt Engineering、RAG、Agent架构、LLM评估方法等，有使用OpenAI、Claude、DeepSeek或开源模型（Llama/Qwen）开发经验者优先；
掌握核心后端技术栈：
熟悉数据库设计（MySQL/PostgreSQL）及缓存技术（Redis），能处理高并发下的数据一致性问题；
深入理解Linux操作系统原理（文件系统、进程管理、网络栈、IO模型），具备扎实的网络编程能力（TCP/HTTP/gRPC）及生产环境排查经验；",党杨岚,hr,刚刚活跃,https://www.zhipin.com/job_detail/bf6fa69a4df0e8450ndy3d-4EVZU.html,通过,通过,
Python技术讲师（RPA应用方向）(A255427),分叉智能科技,9-14K,杭州,余杭区,仓前,杭州余杭区鼎创财富中心B1幢3层影刀RPA,3-5年,本科,,股票期权、带薪年假、零食下午茶、团建聚餐、节日福利、年终奖、五险一金,"职位描述：
这不仅仅是一个技术岗位，更是一个“能力迁移”的岗位。你将作为数字化转型的核心教练，负责将复杂的⾃动化技术转化为客户触⼿可及的⽣产力。你的核心⽬标不是替客户写完代码，而是通过专业的引导与实战陪跑，教会客户如何利用 Python 和 RPA 工具重塑业务流程。
岗位职责：
1. 自动化能力带教： 深入客户业务场景，担任“实战教练”，指导客户从零到一构建自动化思维。通过逻辑拆解与技术演示，帮助客户掌握流程设计与 Python 扩展能力。
2. 场景方案共创： 与客户协同工作，协助其将繁琐的业务需求抽象为可落地的自动化方案。你负责在关键节点提供技术洞察，确保客户设计的方案具备专业性与可扩展性。
3. 技术布道与赋能： 开发并讲授针对不同成熟度用户的实战课程。你需要将抽象的代码逻辑转化为易懂的业务话术，消除技术门槛，激发客户自主创新的热情。
4. 方法论沉淀： 总结并提炼跨行业的自动化应用模版与最佳实践，将单点的教学经验转化为可复制的知识资产，持续提升客户群体的技术独立性。

职位要求：
1. 教育与技术背景： 全日制重点本科及以上学历，计算机相关专业。具备扎实的 Python 编程功底，逻辑思维极其严密。
2. 教学与表达能力： 具备卓越的解说力，擅长“化繁为简”。如果你有过编程教育、讲师、或技术方案演示经验，能让非专业人士快速理解技术逻辑，我们将优先考虑。
3. 教练心态： 拥有极强的成就动机，比起“自己解决问题”，更享受“教会别人解决问题”的过程。具备高度的同理心，能耐心引导客户成长。
4. 业务拆解力： 能够迅速看透业务本质，并将其解构为清晰的自动化步骤。对 AI 工具与前沿技术保持敏锐，并能将其融入教学实践。
5. AI 应用能力： 具备敏锐的 AI 意识，熟悉主流大模型（LLM）工具及 prompt 工程。能够理解并演示如何将 AI 能力（如内容生成、语义理解等）与 RPA 流程深度结合。",石女士,招聘者,刚刚活跃,https://www.zhipin.com/job_detail/cf568851116d55470nd-2N25EFFZ.html,通过,通过,
爬虫开发工程师（Python）,白惜Ecoobix,15-20K,杭州,,,杭州滨江区明豪大厦2905室,3-5年,本科,Python、爬虫、langchain、RAG,加班补助、年终奖、五险一金、节日福利、零食下午茶、带薪年假、员工旅游、生日福利,"工作内容
1、负责公司后端服务的设计、开发、测试与维护，基于Python框架（FastAPI、Django、Flask任一）搭建高效、稳定的业务接口，保障系统正常运行。
2、负责数据爬取相关开发⼯作，包括⽬标平台数据⾤集、解析、清洗及存储，解决爬取过程中的各类技术问题（含数据解密相关场景）。
3、 负责数据库（MySQL、PostgreSQL、Redis等）的设计、优化与维护，提升数据查询与存储效率，保障数据安全与完整性。
4、参与产品需求评审、技术方案设计，配合前端、数据等相关团队完成业务落地，推进项目迭代优化。
5、编写规范的技术⽂档，优化编码流程，提升代码质量，参与团队技术分享与问题排查。

岗位要求
1、统招本科及以上学历，计算机、软件工程、信息工程等相关专业优先
2、具备2年以上Python实际开发工作经验，有完整的后端项目或爬虫项目落地经验者优先。
3、 精通Python编程语言，扎实掌握至少一种Python后端框架（FastAPI、Django、Flask任一），熟悉后端开发流程与规范；熟悉或有过Langchain和Agent开发以及熟悉RAG应用开发的优先
4、熟悉MySQL、PostgreSQL等关系型数据库，有java开发经验者优先。
5、熟悉网络爬虫开发原理，有网页数据爬取、解析经验，具备数据解密相关开发经验者优先，有电商行业经验者优先。
6、具备良好的编码习惯，注重代码可读性、可维护性，有较强的问题排查能力和逻辑思维能力。
7、责任心强，工作积极主动，具备良好的沟通协作能力和团队合作意识，能承受一定的工作压力，主动推进项目落地",田雨,招聘专家,刚刚活跃,https://www.zhipin.com/job_detail/b3deb4a158fb111a0nd_396-GVJR.html,通过,通过,
Python 开发实习生,杭州西格莫伊德智...,180-230元/天,杭州,余杭区,五常,杭州余杭区浙江海外高层次人才创新园4号楼701,5天/周 6个月,本科,,底薪加提成、节日福利、年终奖、五险一金、带薪年假、加班补助、生日福利、有无线网、保底工资、绩效奖金、零食下午茶、股票期权,"岗位职责
1、参与公司内部工具、数据处理、自动化脚本等项目的开发与维护；
2、协助完成数据爬取、清洗、分析、可视化等基础数据工作；
3、配合团队完成接口开发、测试、⽂档编写及 bug 修复；
4、学习并使⽤ Python 相关技术栈，完成分配的开发任务；
5、跟进项⽬进度，及时同步工作进展，配合团队完成迭代开发。

任职要求
1、本科及以上学历，计算机、软件工程、电⼦信息、大数据等相关专业优先；
2、掌握Python 基础语法，熟悉列表、字典、函数、类、异常处理等核心知识；
3、了解至少一种 Python 常用库 / 框架，如：Requests、Pandas、Flask/FastAPI、BeautifulSoup 等；
4、具备基础的数据库知识，了解 MySQL/SQLite 基本增删改查操作；
5、有良好的代码规范意识，具备简单的问题排查和逻辑思维能力；
6、学习能力强，责任心强，善于沟通，能积极配合团队完成工作；
7、奥赛/ACM竞赛成绩优异者优先。

加分项
1、了解 Git 版本控制，能进行代码提交、拉取、合并等操作；
2、接触过爬虫、自动化测试、数据分析、后端接口开发任一方向；
3、熟悉 Linux 基础命令，能在 Linux 环境下进行简单操作；
4、具备快速学习新技术的能力，对技术有热情",王女士,HRBP,刚刚活跃,https://www.zhipin.com/job_detail/df4e6b10235966a10ndy2N26GVJT.html,通过,通过,
Java/Python后端工程师（企业工作流程优化,杭州领航纪元科技,12-20K·15薪,杭州,滨江区,长河,杭州滨江区星耀城2期-3号楼2905室,3-5年,本科,Nginx、不接受居家办公、C++、Docker、PostgreSQL、架构设计经验、区块链经验、Python,员工旅游、节日福利、定期体检、底薪加提成、零食下午茶、现金或期权、带薪年假、年终奖、五险一金、有无线网、团建聚餐、绩效奖金,"工作地点：杭州
工作经验要求：3-5年
学历要求：本科
行业领域：金融、互联⽹/AI、计算机软件、⼈⼯智能等

岗位职责：

1.基于 Java 技术栈，参与 AI 平台或大模型工具的系统架构设计，负责⼤模型应用后端的整体架构设计与实现，兼顾高性能、高可用性、效果与成本控制，支撑从原型验证到生产上线的完整交付。
2.负责复杂 Agent 工作流的设计与实现、高级检索优化（RAG）、多工具协调、多 Agent 协作权限管理、层级隔离、多租户数据隔离等核心功能的开发与优化。负责 Java/Python 后台系统的架构设计、开发、优化与长期维护，支持 AI 能力的深度集成。
3.负责大模型应用相关的数据处理、提示词（Prompt）优化、工程化落地等工作，提升模型实际应用效果。
4.负责交易策略上传、自动转化、沙箱回测、可视化面板优化等工作，提升使用效率。

任职要求：

1.熟练使用 Java & Python（如 FastAPI、Flask、Django 等）进行后端开发， Spring Boot、Spring Cloud 等主流框架，具备扎实的面向对象设计和微服务架构经验；
2.熟悉 Python 开发，能够阅读和理解 Python 代码，必要时可配合完成数据处理、文档解析或原型验证,权限管理、层级隔离相关工作；3.对大模型应用开发有较深入的实践经验，熟练掌握提示词工程（Prompt Engineering）优化、上下文管理、效果评估等技术；
4.熟练掌握 RAG（Retrieval-Augmented Generation）的原理、架构设计与优化方法，包括知识库构建、向量检索、检索增强生成等；
5.熟练使用 Python 或 Java 对文档进行处理（PDF、Word、Markdown 等格式的解析、清洗、结构化）；
6.熟练掌握关系型数据库（MySQL、PostgreSQL、SQL Server 等）的设计、优化及调优，具备较强的 SQL 能力；
7.深入理解大语言模型（LLM）的应用原理与工程化落地，能够独立或主导完成大模型服务的部署、集成、优化及问题排查；
8.具备良好的团队合作与沟通能力，能够在快节奏、高压力的环境中保持积极主动，推动项目高效交付；
9.具有持续学习能力和技术热情，对大模型、Agent、RAG 等前沿技术保持高度敏感性，勇于创新和尝试；
10.*优先考虑：具备金融交易或区块链交易经验
11.三年以上 Java 后端开发经验，至少一年及以上大模型应用或 AI 项目开发经验（有 Python + 大模型项目经验者优先）。
12.持续学习、长期深耕意愿，有自己的想法并能很好地实施

我们提供：
全球前沿的 Web3 产品实战机会，直接参与下一代“信息市场”建设；扁平高效团队，与来自 Coinbase、Binance、华尔街量化基金的成员共事；弹性工作制 + 远程办公 + 年度海外团建；薪酬包含现金+项目 Token 激励，共享长期价值；持续学习预算：参加 ETHGlobal、Token2049、Consensus 等顶级行业会议",叶先生,总经理,刚刚活跃,https://www.zhipin.com/job_detail/53b940064dca9bbd0ndz2t61GVVZ.html,通过,通过,
Python（杭州 ai平台 正编）,某大型知名互联网公司,19-35K,杭州,,,杭州临平区余之城1,经验不限,本科,Django、MySQL、Python,节日福利、团建聚餐,"职位描述
- 负责AI平台的架构设计和工程研发，打造行业领先的聚焦AI开发迭代效率和资源利用效率的AI平台
- 探索业界前沿的机器学习研发(MLOPS)和大模型⼯程研发(LLMOps)相关技术，覆盖数据、实验、训练、评估、推理等各个⽅向
- 不断精进、研究和实现⼤模型方向的平台产品与技术
任职要求
- 计算机及相关专业本科或本科以上学历，良好的沟通和团队协作能力
- 具备优秀的编码能⼒，扎实的数据结构和算法功底，熟练掌握Go/Java/Python等一种或多种编程语言
- 熟悉至少一种主流深度学习编程框架（PyTorch/TensorFlow/Caffe/MXNet），了解其底层架构和实现机制，熟悉大模型方向的前沿研究和应用
- 有强烈的工作责任心，较好的学习能力、沟通能力和自驱力，能够快速的响应和行动",方先生,猎头顾问,刚刚活跃,https://www.zhipin.com/job_detail/87c5eff1b9a1e1bc0nV-2928E1ZX.html,通过,通过,
兼职——AI+Python开发工程师,魔方网表,10-15K,杭州,滨江区,浦沿,杭州滨江区东方通信科技园1,3-5年,本科,Python,,"职位描述：
我们正在寻找一位热爱人工智能（AI）和具备扎实Python编程技能的有丰富的大模型部署、微调经验的开发⼯程师加⼊我们的团队。作为AI⼤模型开发工程师，您将负责设计、开发和优化基于大模型的解决⽅案，以满足我们的业务需求。您将与跨部门团队合作，参与从问题定义到模型开发和部署的完整开发周期。

职责和要求：

设计、开发和优化基于AI大模型的解决方案。
运用Python编程语言进行数据处理、特征工程、模型训练和评估等工作。
与数据科学家和产品团队紧密合作，理解业务需求，并将其转化为可行的AI解决方案。
研究和探索新的AI技术和算法，保持对行业最新趋势的了解，并将其应用于实际项目中。
参与模型的部署和性能优化，确保模型的高效运行和可扩展性。
进行代码审查、单元测试和系统测试，确保代码质量和系统稳定性。
撰写清晰的技术文档，记录项目开发过程和结果。

职位要求：

本科或以上学历，计算机科学、人工智能、数据科学或相关专业背景。
熟练掌握Python编程语言，具备扎实的编码和调试能力。
具备机器学习和深度学习的基础知识，熟悉常用的机器学习算法和深度学习框架，如TensorFlow、PyTorch等。
熟悉常用的数据处理和数据分析工具，如NumPy、Pandas等。
具备良好的问题解决能力和团队合作精神，能够与不同职能团队有效沟通和协作。
具备良好的学习能力和持续创新的意识，能够快速学习新技术和领域知识。
有大模型部署和微调经验优先。

加分项：

有Mixtral 8x7B大模型部署和微调经验优先。",郝永丽,HR,刚刚活跃,https://www.zhipin.com/job_detail/2aff332b8d55be000nV-3966F1ZX.html,通过,通过,
